concat,id,urban_rural,ur_val,avg_0,avg_1,avg_2,avg_3
20001R,20001,R,0,5445,1857,171,3
20001U,20001,U,1,2651,1860,381,31
20003R,20003,R,0,4413,618,12,0
20003U,20003,U,1,1997,747,158,1
20005R,20005,R,0,2014,784,109,312
20005U,20005,U,1,6551,2621,1086,0
20007R,20007,R,0,1926,1887,276,269
20009R,20009,R,0,3769,3183,767,492
20009U,20009,U,1,8324,6520,1902,701
20011R,20011,R,0,6165,890,88,7
20011U,20011,U,1,4395,2490,376,25
20013R,20013,R,0,1962,853,255,264
20013U,20013,U,1,2206,543,50,22
20015R,20015,R,0,16649,4100,2103,5130
20015U,20015,U,1,19937,14677,4054,340
20017R,20017,R,0,2067,387,114,17
20019R,20019,R,0,2380,427,333,90
20021R,20021,R,0,4797,2609,1698,748
20021U,20021,U,1,4923,4089,766,51
20023R,20023,R,0,1638,709,195,59
20025R,20025,R,0,1397,450,70,45
20027R,20027,R,0,1861,1724,306,101
20027U,20027,U,1,2572,1317,142,2
20029R,20029,R,0,2105,1736,201,97
20029U,20029,U,1,3242,1257,3,0
20031R,20031,R,0,4110,1421,251,13
20031U,20031,U,1,1104,986,251,22
20033R,20033,R,0,1250,271,151,18
20035R,20035,R,0,6871,2263,873,1306
20035U,20035,U,1,12793,8837,1685,0
20037R,20037,R,0,5204,5231,1701,1569
20037U,20037,U,1,12577,8350,2795,1303
20039R,20039,R,0,1653,745,259,119
20041R,20041,R,0,6889,3841,901,505
20041U,20041,U,1,3665,1848,569,48
20043R,20043,R,0,1571,721,213,258
20043U,20043,U,1,1400,580,135,1
20045R,20045,R,0,12629,4059,750,61
20045U,20045,U,1,55603,31626,15628,2172
20047R,20047,R,0,1652,934,131,33
20049R,20049,R,0,1731,500,152,124
20051R,20051,R,0,3062,3845,823,63
20051U,20051,U,1,12828,6330,1719,0
20053R,20053,R,0,1995,1287,165,42
20053U,20053,U,1,1073,1215,258,0
20055R,20055,R,0,4553,1248,517,805
20055U,20055,U,1,17205,10404,1130,56
20057R,20057,R,0,4974,1252,493,705
20057U,20057,U,1,15143,9483,1031,13
20059R,20059,R,0,11474,2281,149,0
20059U,20059,U,1,8063,2984,745,1
20061R,20061,R,0,2946,1585,569,429
20061U,20061,U,1,16815,8917,950,0
20063R,20063,R,0,1572,967,79,3
20065R,20065,R,0,1092,1070,152,74
20067R,20067,R,0,1118,322,47,13
20067U,20067,U,1,5463,114,0,0
20069R,20069,R,0,3988,1465,311,190
20071R,20071,R,0,683,287,110,116
20073R,20073,R,0,2440,899,294,128
20073U,20073,U,1,1197,870,40,0
20075R,20075,R,0,1623,563,65,174
20077R,20077,R,0,2028,2080,611,617
20079R,20079,R,0,7965,2599,580,2
20079U,20079,U,1,12112,8832,2169,32
20081R,20081,R,0,2382,986,307,248
20083R,20083,R,0,1212,331,165,72
20085R,20085,R,0,3079,998,388,549
20085U,20085,U,1,2310,682,124,10
20087R,20087,R,0,12406,4454,1280,663
20087U,20087,U,1,139,76,14,0
20089R,20089,R,0,1620,1052,143,18
20091R,20091,R,0,11735,7918,4675,5824
20091U,20091,U,1,138315,168275,147126,123323
20093R,20093,R,0,2034,1075,349,287
20095R,20095,R,0,3066,847,304,293
20095U,20095,U,1,1406,941,116,0
20097R,20097,R,0,1876,516,65,0
20099R,20099,R,0,7201,1398,797,1427
20099U,20099,U,1,5041,3356,366,0
20101R,20101,R,0,757,504,150,107
20103R,20103,R,0,17768,5257,1610,1057
20103U,20103,U,1,26096,20247,7768,2443
20105R,20105,R,0,1764,873,261,88
20107R,20107,R,0,6882,2708,63,1
20109R,20109,R,0,1547,900,285,0
20111R,20111,R,0,5736,1398,741,1207
20111U,20111,U,1,6365,10946,5530,1122
20113R,20113,R,0,6902,3571,1129,1523
20113U,20113,U,1,6899,6427,1877,120
20115R,20115,R,0,5432,2301,639,1039
20115U,20115,U,1,1281,849,111,0
20117R,20117,R,0,4230,2116,353,276
20117U,20117,U,1,2508,169,0,0
20119R,20119,R,0,3253,400,258,119
20121R,20121,R,0,15486,2285,296,28
20121U,20121,U,1,9975,4734,1418,107
20123R,20123,R,0,1412,1238,128,40
20123U,20123,U,1,2600,411,46,2
20125R,20125,R,0,8801,2508,1060,1881
20125U,20125,U,1,9993,6582,676,0
20127R,20127,R,0,2429,2730,335,66
20129R,20129,R,0,1893,334,213,98
20131R,20131,R,0,5272,1486,471,561
20131U,20131,U,1,1673,528,129,0
20133R,20133,R,0,5821,1424,119,4
20133U,20133,U,1,3009,5148,404,0
20135R,20135,R,0,1395,1282,91,0
20137R,20137,R,0,1675,876,83,38
20137U,20137,U,1,2399,257,0,0
20139R,20139,R,0,9895,3040,439,2
20139U,20139,U,1,1209,912,273,0
20141R,20141,R,0,1513,1644,276,6
20143R,20143,R,0,3203,1773,482,254
20145R,20145,R,0,1312,673,115,14
20145U,20145,U,1,2254,1608,365,25
20147R,20147,R,0,1701,1051,109,55
20147U,20147,U,1,1920,346,0,0
20149R,20149,R,0,6584,6698,1359,743
20149U,20149,U,1,4076,4227,460,571
20151R,20151,R,0,1840,979,164,43
20151U,20151,U,1,3439,2314,344,3
20153R,20153,R,0,1881,298,162,169
20155R,20155,R,0,10768,5157,1588,2974
20155U,20155,U,1,23298,15720,2257,30
20157R,20157,R,0,2781,1020,223,512
20159R,20159,R,0,3038,2146,681,241
20159U,20159,U,1,1529,1462,265,0
20161R,20161,R,0,7032,5043,1231,487
20161U,20161,U,1,26181,20861,10007,2359
20163R,20163,R,0,2157,2077,445,147
20165R,20165,R,0,1353,1338,199,57
20167R,20167,R,0,2180,640,29,0
20167U,20167,U,1,3704,251,0,0
20169R,20169,R,0,5736,1639,309,468
20169U,20169,U,1,20779,15459,5032,4504
20171R,20171,R,0,959,253,104,68
20171U,20171,U,1,1915,1310,178,2
20173R,20173,R,0,25465,13709,4096,410
20173U,20173,U,1,219981,196093,59852,276
20175R,20175,R,0,2024,250,193,91
20175U,20175,U,1,13313,4373,773,20
20177R,20177,R,0,17907,8448,1858,70
20177U,20177,U,1,69010,57438,19759,1509
20179R,20179,R,0,1267,933,169,151
20181R,20181,R,0,1044,259,90,91
20181U,20181,U,1,4110,183,0,0
20183R,20183,R,0,1644,1523,218,159
