concat,id,urban_rural,ur_val,avg_0,avg_1,avg_2,avg_3
20001R,20001,R,0,5445,1857,171,3
20003R,20003,R,0,4413,618,12,0
20005R,20005,R,0,2014,784,109,312
20007R,20007,R,0,1926,1887,276,269
20009R,20009,R,0,3769,3183,767,492
20011R,20011,R,0,6165,890,88,7
20013R,20013,R,0,1962,853,255,264
20015R,20015,R,0,16649,4100,2103,5130
20017R,20017,R,0,2067,387,114,17
20019R,20019,R,0,2380,427,333,90
20021R,20021,R,0,4797,2609,1698,748
20023R,20023,R,0,1638,709,195,59
20025R,20025,R,0,1397,450,70,45
20027R,20027,R,0,1861,1724,306,101
20029R,20029,R,0,2105,1736,201,97
20031R,20031,R,0,4110,1421,251,13
20033R,20033,R,0,1250,271,151,18
20035R,20035,R,0,6871,2263,873,1306
20037R,20037,R,0,5204,5231,1701,1569
20039R,20039,R,0,1653,745,259,119
20041R,20041,R,0,6889,3841,901,505
20043R,20043,R,0,1571,721,213,258
20045R,20045,R,0,12629,4059,750,61
20047R,20047,R,0,1652,934,131,33
20049R,20049,R,0,1731,500,152,124
20051R,20051,R,0,3062,3845,823,63
20053R,20053,R,0,1995,1287,165,42
20055R,20055,R,0,4553,1248,517,805
20057R,20057,R,0,4974,1252,493,705
20059R,20059,R,0,11474,2281,149,0
20061R,20061,R,0,2946,1585,569,429
20063R,20063,R,0,1572,967,79,3
20065R,20065,R,0,1092,1070,152,74
20067R,20067,R,0,1118,322,47,13
20069R,20069,R,0,3988,1465,311,190
20071R,20071,R,0,683,287,110,116
20073R,20073,R,0,2440,899,294,128
20075R,20075,R,0,1623,563,65,174
20077R,20077,R,0,2028,2080,611,617
20079R,20079,R,0,7965,2599,580,2
20081R,20081,R,0,2382,986,307,248
20083R,20083,R,0,1212,331,165,72
20085R,20085,R,0,3079,998,388,549
20087R,20087,R,0,12406,4454,1280,663
20089R,20089,R,0,1620,1052,143,18
20091R,20091,R,0,11735,7918,4675,5824
20093R,20093,R,0,2034,1075,349,287
20095R,20095,R,0,3066,847,304,293
20097R,20097,R,0,1876,516,65,0
20099R,20099,R,0,7201,1398,797,1427
20101R,20101,R,0,757,504,150,107
20103R,20103,R,0,17768,5257,1610,1057
20105R,20105,R,0,1764,873,261,88
20107R,20107,R,0,6882,2708,63,1
20109R,20109,R,0,1547,900,285,0
20111R,20111,R,0,5736,1398,741,1207
20113R,20113,R,0,6902,3571,1129,1523
20115R,20115,R,0,5432,2301,639,1039
20117R,20117,R,0,4230,2116,353,276
20119R,20119,R,0,3253,400,258,119
20121R,20121,R,0,15486,2285,296,28
20123R,20123,R,0,1412,1238,128,40
20125R,20125,R,0,8801,2508,1060,1881
20127R,20127,R,0,2429,2730,335,66
20129R,20129,R,0,1893,334,213,98
20131R,20131,R,0,5272,1486,471,561
20133R,20133,R,0,5821,1424,119,4
20135R,20135,R,0,1395,1282,91,0
20137R,20137,R,0,1675,876,83,38
20139R,20139,R,0,9895,3040,439,2
20141R,20141,R,0,1513,1644,276,6
20143R,20143,R,0,3203,1773,482,254
20145R,20145,R,0,1312,673,115,14
20147R,20147,R,0,1701,1051,109,55
20149R,20149,R,0,6584,6698,1359,743
20151R,20151,R,0,1840,979,164,43
20153R,20153,R,0,1881,298,162,169
20155R,20155,R,0,10768,5157,1588,2974
20157R,20157,R,0,2781,1020,223,512
20159R,20159,R,0,3038,2146,681,241
20161R,20161,R,0,7032,5043,1231,487
20163R,20163,R,0,2157,2077,445,147
20165R,20165,R,0,1353,1338,199,57
20167R,20167,R,0,2180,640,29,0
20169R,20169,R,0,5736,1639,309,468
20171R,20171,R,0,959,253,104,68
20173R,20173,R,0,25465,13709,4096,410
20175R,20175,R,0,2024,250,193,91
20177R,20177,R,0,17907,8448,1858,70
20179R,20179,R,0,1267,933,169,151
20181R,20181,R,0,1044,259,90,91
20183R,20183,R,0,1644,1523,218,159
20185R,20185,R,0,1744,1760,463,80
20187R,20187,R,0,1478,380,71,40
20189R,20189,R,0,1464,476,66,7
20191R,20191,R,0,8443,3739,1193,956
20193R,20193,R,0,1653,742,92,48
20195R,20195,R,0,1174,1343,239,3
20197R,20197,R,0,3293,2156,700,757
20199R,20199,R,0,984,382,132,38
20201R,20201,R,0,3457,1568,312,90
20203R,20203,R,0,1193,504,185,193
20205R,20205,R,0,5471,666,42,0
20207R,20207,R,0,1958,528,198,331
20209R,20209,R,0,3181,3241,2216,1983
