concat,id,urban_rural,ur_val,avg_0,avg_1,avg_2,avg_3
20001U,20001,U,1,2651,1860,381,31
20003U,20003,U,1,1997,747,158,1
20005U,20005,U,1,6551,2621,1086,0
20009U,20009,U,1,8324,6520,1902,701
20011U,20011,U,1,4395,2490,376,25
20013U,20013,U,1,2206,543,50,22
20015U,20015,U,1,19937,14677,4054,340
20021U,20021,U,1,4923,4089,766,51
20027U,20027,U,1,2572,1317,142,2
20029U,20029,U,1,3242,1257,3,0
20031U,20031,U,1,1104,986,251,22
20035U,20035,U,1,12793,8837,1685,0
20037U,20037,U,1,12577,8350,2795,1303
20041U,20041,U,1,3665,1848,569,48
20043U,20043,U,1,1400,580,135,1
20045U,20045,U,1,55603,31626,15628,2172
20051U,20051,U,1,12828,6330,1719,0
20053U,20053,U,1,1073,1215,258,0
20055U,20055,U,1,17205,10404,1130,56
20057U,20057,U,1,15143,9483,1031,13
20059U,20059,U,1,8063,2984,745,1
20061U,20061,U,1,16815,8917,950,0
20067U,20067,U,1,5463,114,0,0
20073U,20073,U,1,1197,870,40,0
20079U,20079,U,1,12112,8832,2169,32
20085U,20085,U,1,2310,682,124,10
20087U,20087,U,1,139,76,14,0
20091U,20091,U,1,138315,168275,147126,123323
20095U,20095,U,1,1406,941,116,0
20099U,20099,U,1,5041,3356,366,0
20103U,20103,U,1,26096,20247,7768,2443
20111U,20111,U,1,6365,10946,5530,1122
20113U,20113,U,1,6899,6427,1877,120
20115U,20115,U,1,1281,849,111,0
20117U,20117,U,1,2508,169,0,0
20121U,20121,U,1,9975,4734,1418,107
20123U,20123,U,1,2600,411,46,2
20125U,20125,U,1,9993,6582,676,0
20131U,20131,U,1,1673,528,129,0
20133U,20133,U,1,3009,5148,404,0
20137U,20137,U,1,2399,257,0,0
20139U,20139,U,1,1209,912,273,0
20145U,20145,U,1,2254,1608,365,25
20147U,20147,U,1,1920,346,0,0
20149U,20149,U,1,4076,4227,460,571
20151U,20151,U,1,3439,2314,344,3
20155U,20155,U,1,23298,15720,2257,30
20159U,20159,U,1,1529,1462,265,0
20161U,20161,U,1,26181,20861,10007,2359
20167U,20167,U,1,3704,251,0,0
20169U,20169,U,1,20779,15459,5032,4504
20171U,20171,U,1,1915,1310,178,2
20173U,20173,U,1,219981,196093,59852,276
20175U,20175,U,1,13313,4373,773,20
20177U,20177,U,1,69010,57438,19759,1509
20181U,20181,U,1,4110,183,0,0
20189U,20189,U,1,3214,161,0,0
20191U,20191,U,1,7071,1071,104,0
20193U,20193,U,1,4929,235,3,0
20205U,20205,U,1,1277,811,95,0
20209U,20209,U,1,34098,59434,38164,22947
