STATE,COUNTY,STATENAME,COUNTYNAME,POP_COU,AREA_COU,POP_URBAN,POPPCT_URBAN,AREA_URBAN,AREAPCT_URBAN,POPDEN_URBAN,POP_UA,POPPCT_UA,AREA_UA,AREAPCT_UA,POPDEN_UA,POP_UC,POPPCT_UC,AREA_UC,AREAPCT_UC,POPDEN_UC,POP_RURAL,POPPCT_RURAL,AREA_RURAL,AREAPCT_RURAL,POPDEN_RURAL
08,001,Colorado,Adams,441603,3024207713,425615,96.38,364005851,12.04,3028.4,425615,96.38,364005851,12.04,3028.4,0,0,0,0,,15988,3.62,2660201862,87.96,15.6
08,003,Colorado,Alamosa,15445,1871636898,9751,63.13,18886598,1.01,1337.2,0,0,0,0,,9751,63.13,18886598,1.01,1337.2,5694,36.87,1852750300,98.99,8
08,005,Colorado,Arapahoe,572003,2067070049,562992,98.42,396190555,19.17,3680.4,562992,98.42,396190555,19.17,3680.4,0,0,0,0,,9011,1.58,1670879494,80.83,14
08,007,Colorado,Archuleta,12084,3496937899,4909,40.62,13770881,0.39,923.3,0,0,0,0,,4909,40.62,13770881,0.39,923.3,7175,59.38,3483167018,99.61,5.3
08,009,Colorado,Baca,3788,6617333541,0,0,0,0,,0,0,0,0,,0,0,0,0,,3788,100,6617333541,100,1.5
08,011,Colorado,Bent,6499,3918292377,4032,62.04,3651419,0.09,2859.9,0,0,0,0,,4032,62.04,3651419,0.09,2859.9,2467,37.96,3914640958,99.91,1.6
08,013,Colorado,Boulder,294567,1881080439,268312,91.09,221102185,11.75,3143,268312,91.09,221102185,11.75,3143,0,0,0,0,,26255,8.91,1659978254,88.25,41
08,014,Colorado,Broomfield,55889,85557538,55563,99.42,60052811,70.19,2396.3,55563,99.42,60052811,70.19,2396.3,0,0,0,0,,326,0.58,25504727,29.81,33.1
08,015,Colorado,Chaffee,17809,2624702242,11146,62.59,22652917,0.86,1274.4,0,0,0,0,,11146,62.59,22652917,0.86,1274.4,6663,37.41,2602049325,99.14,6.6
08,017,Colorado,Cheyenne,1836,4605713068,0,0,0,0,,0,0,0,0,,0,0,0,0,,1836,100,4605713068,100,1
08,019,Colorado,Clear Creek,9088,1023632674,0,0,0,0,,0,0,0,0,,0,0,0,0,,9088,100,1023632674,100,23
08,021,Colorado,Conejos,8256,3334326097,0,0,0,0,,0,0,0,0,,0,0,0,0,,8256,100,3334326097,100,6.4
08,023,Colorado,Costilla,3524,3177789979,0,0,0,0,,0,0,0,0,,0,0,0,0,,3524,100,3177789979,100,2.9
