county_code,county_lat,county_lng
AL,37.88333,-95.28333
AN,38.2,-95.28333
AT,39.5609,-95.12738
BA,37.230652,-98.568613
BT,38.361347,-98.76508
BB,37.841953,-94.70624
BR,39.824223,-95.581995
BU,37.783,-96.833
CS,38.313664,-96.607734
CQ,37.12686,-96.184235
CK,37.166668,-94.85
CN,39.8,-101.8
CA,37.19264,-99.76965
CY,39.35,-97.166664
CD,39.571594,-97.65581
CF,38.19457,-95.744705
CM,37.269978,-99.32807
CL,37.240494,-96.98717
CR,37.516666,-94.85
DC,39.48,-100.28
DK,38.917324,-97.21392
DP,39.789898,-95.089645
DG,38.973156,-95.23825
ED,37.922844,-99.40987
EK,37.46803,-96.254654
EL,38.87821,-99.31783
EW,38.7,-98.2
FI,38.016666,-100.666664
FO,37.76547,-100.01517
FR,38.608498,-95.26864
GE,39.02829,-96.837234
GO,38.916668,-100.48333
GH,39.364548,-99.84329
GT,37.580795,-101.35804
GY,37.806843,-100.34835
GL,38.466667,-101.833336
GW,37.883169,-96.223448
HM,37.980656,-101.75262
HP,37.152225,-98.03012
HV,38.05,-97.433334
HS,37.48008,-100.84374
HG,38.083332,-99.9
JA,39.466263,-95.73766
JF,39.21549,-95.31301
JW,39.784718,-98.20866
JO,38.883526,-94.81824
KE,37.941334,-101.25545
KM,37.645275,-98.1132
KW,37.566666,-99.28333
LB,37.164936,-95.10881
LE,38.466667,-100.46667
LV,39.32746,-94.91895
LC,39.049778,-98.1446
LN,38.14269,-94.80805
LG,39.12638,-100.85375
LY,38.412304,-96.200165
MP,38.37355,-97.66707
MN,38.348225,-97.01728
MS,39.842167,-96.64317
ME,37.28549,-100.34
MI,38.576653,-94.86837
MC,39.4,-98.2
MG,37.23235,-95.7066
MR,38.661053,-96.49057
MT,37.002247,-101.89562
NM,39.841293,-96.064064
NO,37.56874,-95.24838
NS,38.452824,-99.90504
NT,39.833744,-99.88747
OS,38.65,-95.73333
OB,39.438133,-98.69471
OT,39.13333,-97.666664
PN,38.182644,-99.09835
PL,39.8,-99.35
PT,39.393066,-96.41358
PR,37.65,-98.73333
RA,39.8,-101.1
RN,38.070534,-97.9131
RP,39.823994,-97.6321
RE,38.35,-98.2
RL,39.186687,-96.5666
RO,39.436626,-99.27084
RH,38.531605,-99.30966
RS,38.916668,-98.76667
SA,38.783333,-97.666664
SC,38.466667,-100.9
SG,37.686024,-97.33557
SW,37.044056,-100.92234
SN,39.050976,-95.67043
SD,39.357533,-100.441986
SH,39.351204,-101.711815
SM,39.780243,-98.78577
SF,38.00055,-98.76169
ST,37.57019,-101.752235
SV,37.175682,-101.348145
SU,37.233334,-97.48333
TH,39.397064,-101.04584
TR,39.02136,-99.880844
WB,38.974718,-96.202352
WA,38.89482,-101.751724
WS,39.813534,-97.051315
WH,38.481434,-101.35836
WL,37.530155,-95.8326
WO,37.879337,-95.732506
WY,39.1127,-94.6268
