County,Apr_2010,Jul_2012,Jul_2013,Jul_2014,Jul_2015,Jul_2016,Jul_2017,Jul_2018,Jul_2019,Apr_2020,Perc_change_Apr_2010_2020
Allen,"13,371","13,304","13,065","12,889","12,680","12,667","12,545","12,500","12,404","12,526",-6.32
Anderson,"8,102","7,925","7,859","7,888","7,826","7,828","7,850","7,858","7,899","7,836",-3.28
Atchison,"16,924","16,779","16,697","16,534","16,429","16,376","16,319","16,202","16,138","16,348",-3.4
Barber,"4,861","4,867","4,909","4,881","4,824","4,672","4,569","4,462","4,458","4,228",-13.02
Barton,"27,674","27,522","27,447","27,339","27,164","26,904","26,427","26,120","25,938","25,493",-7.88
Bourbon,"15,173","14,877","14,835","14,798","14,734","14,619","14,604","14,538","14,499","14,360",-5.36
Brown,"9,984","9,869","9,916","9,789","9,710","9,639","9,619","9,592","9,541","9,508",-4.77
Butler,"65,880","65,692","65,706","65,900","66,293","66,723","66,916","66,887","66,932","67,380",2.28
Chase,"2,790","2,741","2,688","2,652","2,654","2,631","2,652","2,565","2,585","2,572",-7.81
Chautauqua,"3,669","3,562","3,532","3,460","3,389","3,361","3,320","3,287","3,203","3,379",-7.9
Cherokee,"21,603","21,206","20,915","20,785","20,552","20,280","20,151","20,024","19,948","19,362",-10.37
Cheyenne,"2,726","2,668","2,672","2,687","2,676","2,665","2,682","2,625","2,624","2,616",-4.04
Clark,"2,215","2,166","2,179","2,115","2,082","2,068","1,996","1,995","2,006","1,991",-10.11
Clay,"8,535","8,499","8,384","8,298","8,291","8,106","8,003","8,008","8,009","8,117",-4.9
Cloud,"9,533","9,416","9,355","9,332","9,192","9,088","8,922","8,725","8,779","9,032",-5.26
Coffey,"8,601","8,470","8,381","8,398","8,294","8,346","8,231","8,212","8,142","8,360",-2.8
Comanche,"1,891","1,916","1,928","1,950","1,828","1,844","1,763","1,740","1,704","1,689",-10.68
Cowley,"36,311","36,281","36,186","35,918","35,774","35,662","35,311","35,067","34,784","34,549",-4.85
Crawford,"39,134","39,333","39,264","39,291","39,166","39,082","38,942","38,884","38,734","38,972",-0.41
Decatur,"2,961","2,886","2,911","2,900","2,927","2,829","2,866","2,842","2,816","2,764",-6.65
Dickinson,"19,754","19,708","19,436","19,311","19,214","18,971","18,829","18,621","18,381","18,402",-6.84
Doniphan,"7,945","7,891","7,876","7,839","7,789","7,713","7,655","7,632","7,584","7,510",-5.48
Douglas,"110,826","113,360","114,779","116,540","118,265","119,876","120,516","121,327","122,269","118,785",7.18
Edwards,"3,037","2,968","2,969","3,026","2,955","2,896","2,871","2,806","2,783","2,907",-4.28
Elk,"2,882","2,662","2,634","2,695","2,572","2,514","2,511","2,470","2,507","2,483",-13.84
Ellis,"28,452","29,100","29,044","28,983","29,030","28,946","28,755","28,709","28,652","28,934",1.69
Ellsworth,"6,497","6,469","6,372","6,353","6,311","6,300","6,295","6,156","6,093","6,376",-1.86
Finney,"36,776","37,106","37,069","37,105","37,127","36,827","36,685","36,473","36,351","38,470",4.61
Ford,"33,848","34,661","34,872","34,923","34,617","34,446","34,082","33,623","33,346","34,287",1.3
Franklin,"25,992","25,836","25,747","25,551","25,495","25,546","25,667","25,681","25,618","25,996",0.02
Geary,"34,362","37,946","36,857","36,530","36,783","35,401","33,935","32,998","31,992","36,739",6.92
Gove,"2,695","2,762","2,796","2,749","2,700","2,621","2,623","2,612","2,665","2,718",0.85
Graham,"2,597","2,581","2,588","2,557","2,591","2,558","2,485","2,448","2,441","2,415",-7.01
Grant,"7,829","7,833","7,843","7,784","7,719","7,660","7,476","7,271","7,136","7,352",-6.09
Gray,"6,006","5,963","5,979","6,060","6,083","6,043","6,020","6,085","5,996","5,653",-5.88
Greeley,"1,247","1,268","1,283","1,302","1,302","1,280","1,227","1,229","1,211","1,284",2.97
Greenwood,"6,689","6,427","6,361","6,290","6,235","6,104","6,068","6,008","6,001","6,016",-10.06
Hamilton,"2,690","2,648","2,616","2,654","2,563","2,628","2,609","2,584","2,515","2,518",-6.39
Harper,"6,034","5,862","5,844","5,831","5,785","5,670","5,581","5,500","5,442","5,485",-9.1
Harvey,"34,684","34,769","34,736","34,621","34,832","34,777","34,436","34,225","34,442","34,024",-1.9
