state,type_code,state_place,type_desc,name,lat,lng
20,00100,2000100,place,"Abbyville, KS",-98.2029614,37.9705757
20,00125,2000125,place,"Abilene, KS",-97.2278998,38.924483
20,00225,2000225,place,"Ada, KS",-97.8859477,39.1621996
20,00325,2000325,place,"Admire, KS",-96.1020087,38.6409949
20,00475,2000475,place,"Agenda, KS",-97.4322389,39.7065672
20,00550,2000550,place,"Agra, KS",-99.1194272,39.7612622
20,00825,2000825,place,"Albert, KS",-99.011129,38.4539591
20,00950,2000950,place,"Alden, KS",-98.3117296,38.2438388
20,01050,2001050,place,"Alexander, KS",-99.5529981,38.469417
20,01275,2001275,place,"Allen, KS",-96.1696355,38.6551225
20,01350,2001350,place,"Alma, KS",-96.2870964,39.0156813
20,01425,2001425,place,"Almena, KS",-99.7096128,39.8912739
20,01550,2001550,place,"Altamont, KS",-95.2919457,37.1853028
20,01575,2001575,place,"Alta Vista, KS",-96.4888377,38.8629419
20,01600,2001600,place,"Alton, KS",-98.948639,39.467804
20,01625,2001625,place,"Altoona, KS",-95.6614982,37.5245174
20,01675,2001675,place,"Americus, KS",-96.2612819,38.5063849
20,01725,2001725,place,"Ames, KS",-97.4509648,39.5688945
20,01775,2001775,place,"Andale, KS",-97.6275008,37.7915057
20,01800,2001800,place,"Andover, KS",-97.1307531,37.6871655
20,01975,2001975,place,"Anthony, KS",-98.0427758,37.1585331
20,02175,2002175,place,"Arcadia, KS",-94.6240276,37.6412329
20,02250,2002250,place,"Argonia, KS",-97.7629391,37.2678762
20,02300,2002300,place,"Arkansas City, KS",-97.038436,37.0724994
20,02325,2002325,place,"Arlington, KS",-98.1780643,37.8962896
20,02375,2002375,place,"Arma, KS",-94.7018073,37.5427753
20,02600,2002600,place,"Asherville, KS",-97.9732287,39.4074933
20,02675,2002675,place,"Ashland, KS",-99.7696711,37.186661
20,02850,2002850,place,"Assaria, KS",-97.6041423,38.6802029
20,02900,2002900,place,"Atchison, KS",-95.1366109,39.5625524
20,03025,2003025,place,"Athol, KS",-98.9197481,39.766191
20,03050,2003050,place,"Atlanta, KS",-96.7669778,37.4357375
20,03100,2003100,place,"Attica, KS",-98.2276237,37.2426049
20,03150,2003150,place,"Atwood, KS",-101.0418926,39.8098997
20,03250,2003250,place,"Auburn, KS",-95.8155552,38.9077559
20,03300,2003300,place,"Augusta, KS",-96.9731604,37.6980162
20,03425,2003425,place,"Aurora, KS",-97.5298458,39.4519241
20,03600,2003600,place,"Axtell, KS",-96.2568959,39.8712585
20,03675,2003675,place,"Baileyville, KS",-96.192749,39.850055
20,03800,2003800,place,"Bala, KS",-96.9503922,39.3108293
20,03900,2003900,place,"Baldwin City, KS",-95.1874801,38.7775064
20,04225,2004225,place,"Barnard, KS",-98.0442515,39.1891709
20,04250,2004250,place,"Barnes, KS",-96.8734042,39.7115508
20,04350,2004350,place,"Bartlett, KS",-95.2115688,37.0548602
20,04400,2004400,place,"Basehor, KS",-94.9290474,39.1353248
20,04450,2004450,place,"Bassett, KS",-95.4056506,37.907206
20,04575,2004575,place,"Bavaria, KS",-97.7547404,38.7953989
20,04625,2004625,place,"Baxter Springs, KS",-94.7349608,37.0199515
20,04775,2004775,place,"Bazine, KS",-99.6930058,38.4461259
20,04900,2004900,place,"Beattie, KS",-96.4177904,39.8623707
20,04925,2004925,place,"Beaumont, KS",-96.5318138,37.6559754
20,04950,2004950,place,"Beaver, KS",-98.6737148,38.6455196
20,05337,2005337,place,"Bel Aire, KS",-97.2465707,37.7759428
20,05500,2005500,place,"Belle Plaine, KS",-97.2795482,37.3934285
20,05600,2005600,place,"Belleville, KS",-97.6338554,39.8243366
20,05775,2005775,place,"Beloit, KS",-98.1083398,39.4646976
20,05825,2005825,place,"Belpre, KS",-99.0998216,37.9506691
20,05925,2005925,place,"Belvue, KS",-96.1790006,39.216297
20,05975,2005975,place,"Bendena, KS",-95.1810565,39.7435409
20,06000,2006000,place,"Benedict, KS",-95.7434829,37.6268832
20,06075,2006075,place,"Bennington, KS",-97.5932277,39.033146
20,06125,2006125,place,"Bentley, KS",-97.5147116,37.8867616
20,06175,2006175,place,"Benton, KS",-97.1077527,37.7881362
20,06275,2006275,place,"Bern, KS",-95.9710647,39.9614154
20,06500,2006500,place,"Beverly, KS",-97.9754542,39.0138315
20,06575,2006575,place,"Big Bow, KS",-101.5573721,37.5608514
20,06825,2006825,place,"Bird City, KS",-101.5327651,39.7495137
20,06950,2006950,place,"Bison, KS",-99.19789,38.5199153
20,07600,2007600,place,"Blue Mound, KS",-95.0099263,38.0893572
20,07650,2007650,place,"Blue Rapids, KS",-96.658901,39.6784391
20,07775,2007775,place,"Bluff City, KS",-97.8747005,37.0761158
20,07825,2007825,place,"Bogue, KS",-99.68739,39.3595222
20,07975,2007975,place,"Bonner Springs, KS",-94.8717391,39.0753683
20,08300,2008300,place,"Bremen, KS",-96.7955068,39.8977723
20,08425,2008425,place,"Brewster, KS",-101.3771297,39.3630545
20,08450,2008450,place,"Bridgeport, KS",-97.6140038,38.6271396
20,08475,2008475,place,"Bronson, KS",-95.0731127,37.8958065
20,08575,2008575,place,"Brookville, KS",-97.8645441,38.7735575
20,08675,2008675,place,"Brownell, KS",-99.744275,38.6406194
20,09000,2009000,place,"Bucklin, KS",-99.6344185,37.5486469
20,09050,2009050,place,"Bucyrus, KS",-94.7083468,38.7209166
20,09150,2009150,place,"Buffalo, KS",-95.6969304,37.7091077
20,09200,2009200,place,"Buhler, KS",-97.7705686,38.1384261
20,09225,2009225,place,"Bunker Hill, KS",-98.6989376,38.8752981
20,09250,2009250,place,"Burden, KS",-96.7553723,37.3156094
20,09275,2009275,place,"Burdett, KS",-99.5264517,38.1935232
20,09300,2009300,place,"Burdick, KS",-96.8472436,38.5589434
20,09350,2009350,place,"Burlingame, KS",-95.8357746,38.7518644
20,09400,2009400,place,"Burlington, KS",-95.7454278,38.1932893
20,09450,2009450,place,"Burns, KS",-96.8876681,38.0897378
20,09525,2009525,place,"Burr Oak, KS",-98.3057081,39.870347
20,09575,2009575,place,"Burrton, KS",-97.6714518,38.0237192
20,09675,2009675,place,"Bushong, KS",-96.2567348,38.6427996
20,09700,2009700,place,"Bushton, KS",-98.3960026,38.5122753
20,09800,2009800,place,"Byers, KS",-98.8670554,37.7878963
20,09900,2009900,place,"Caldwell, KS",-97.6088676,37.0350092
20,10125,2010125,place,"Cambridge, KS",-96.6671658,37.3177764
20,10375,2010375,place,"Caney, KS",-95.9319312,37.0135728
