School District,County,Unified School District (USD),Total Population Estimate,Population of Children Age 5-17,Children in Poverty Age 5-17 Related to Head of Household (Number),Children in Poverty Age 5-17 Related to Head of Household (Percent)
   Chanute Public Schools ,ALLEN,413  ,"10,635","1,860",315,16.9
   Crest ,ALLEN,479  ,"1,304",234,29,12.4
   Humboldt ,ALLEN,258  ,"2,619",468,67,14.3
   Iola ,ALLEN,257  ,"8,050","1,294",272,21.0
   Marmaton Valley ,ALLEN,256  ,"1,604",291,50,17.2
   Crest ,ANDERSON,479  ,"1,304",234,29,12.4
   Garnett ,ANDERSON,365  ,"6,767","1,296",182,14.0
   West Franklin ,ANDERSON,287  ,"4,819",820,100,12.2
   Atchison County Community Schools ,ATCHISON,377  ,"4,099",788,77,9.8
   Atchison Public Schools ,ATCHISON,409  ,"11,813","1,938",327,16.9
   Easton ,ATCHISON,449  ,"3,703",657,25,3.8
   Jefferson County North ,ATCHISON,339  ,"2,275",397,34,8.6
   North Jackson ,ATCHISON,335  ,"1,849",326,43,13.2
   South Brown County ,ATCHISON,430  ,"3,299",665,143,21.5
   Valley Falls ,ATCHISON,338  ,"2,305",430,30,7.0
   Barber County North ,BARBER,254  ,"3,014",527,96,18.2
   Skyline Schools ,BARBER,438  ,"1,099",228,38,16.7
   South Barber ,BARBER,255  ,"1,433",231,44,19.0
   Central Plains,BARTON,112  ,"3,514",570,56,9.8
   Ellinwood Public Schools ,BARTON,355  ,"2,688",435,38,8.7
   Fort Larned ,BARTON,495  ,"6,219",749,97,13.0
   Great Bend ,BARTON,428  ,"17,906","3,185",512,16.1
   Hoisington ,BARTON,431  ,"3,318",603,80,13.3
   Macksville ,BARTON,351  ,"1,261",250,47,18.8
   Otis-Bison ,BARTON,403  ,"1,332",217,30,13.8
   Fort Scott ,BOURBON,234  ,"12,125","2,245",453,20.2
   Girard ,BOURBON,248  ,"5,438","1,039",180,17.3
   Jayhawk ,BOURBON,346  ,"3,385",517,103,19.9
   Uniontown ,BOURBON,235  ,"2,168",462,88,19.0
   Doniphan West ,BROWN,111  ,"2,500",323,37,11.5
   Hiawatha ,BROWN,415  ,"5,579",990,147,14.8
   North Jackson ,BROWN,335  ,"1,849",326,43,13.2
   Prairie Hills,BROWN,113  ,"6,678","1,350",134,9.9
   South Brown County ,BROWN,430  ,"3,299",665,143,21.5
   Andover ,BUTLER,385  ,"23,714","5,764",236,4.1
   Augusta ,BUTLER,402  ,"12,401","2,344",187,8.0
   Bluestem ,BUTLER,205  ,"3,904",661,61,9.2
