school_dist	county_code	total_pop_est	child_pop	child_poverty_numb	child_poverty_percent
101	CR	3516	642	164	25.5
101	NO	3516	642	164	25.5
102	FI	3280	709	48	6.8
102	FO	3280	709	48	6.8
102	GY	3280	709	48	6.8
102	HG	3280	709	48	6.8
103	CN	1051	147	34	23.1
103	RA	1051	147	34	23.1
105	RA	2115	325	63	19.4
106	NS	1170	174	23	13.2
106	TR	1170	174	23	13.2
107	JW	2613	372	73	19.6
108	RP	2475	377	41	10.9
108	WS	2475	377	41	10.9
109	CD	3563	534	106	19.9
109	JW	3563	534	106	19.9
109	RP	3563	534	106	19.9
109	WS	3563	534	106	19.9
110	PL	1566	254	41	16.1
110	SM	1566	254	41	16.1
111	BR	2500	323	37	11.5
111	DP	2500	323	37	11.5
112	BT	3514	570	56	9.8
112	EW	3514	570	56	9.8
112	LC	3514	570	56	9.8
112	RE	3514	570	56	9.8
112	RS	3514	570	56	9.8
113	BR	6678	1350	134	9.9
113	JA	6678	1350	134	9.9
113	MS	6678	1350	134	9.9
113	NM	6678	1350	134	9.9
114	DP	3313	559	91	16.3
115	MS	3942	722	84	11.6
115	NM	3942	722	84	11.6
200	GL	1232	238	37	15.5
202	WY	19754	4060	926	22.8
203	WY	10604	2167	136	6.3
204	LV	14179	2662	446	16.8
204	WY	14179	2662	446	16.8
205	BU	3904	661	61	9.2
205	EK	3904	661	61	9.2
205	GW	3904	661	61	9.2
206	BU	3705	746	60	8
206	HV	3705	746	60	8
206	MN	3705	746	60	8
206	SG	3705	746	60	8
207	LV	8399	1681	49	2.9
208	GH	2666	361	47	13
208	TR	2666	361	47	13
209	GT	708	177	11	6.2
209	SW	708	177	11	6.2
209	SV	708	177	11	6.2
210	SV	4837	1038	134	12.9
211	DC	4728	629	76	12.1
211	GH	4728	629	76	12.1
211	NT	4728	629	76	12.1
211	SD	4728	629	76	12.1
212	NT	839	147	25	17
212	PL	839	147	25	17
214	GT	7094	1596	235	14.7
215	KE	2807	599	64	10.7
216	KE	1031	218	24	11
217	MT	609	121	25	20.7
218	MT	1978	355	43	12.1
219	CA	991	195	27	13.8
219	FO	991	195	27	13.8
220	CA	1107	200	37	18.5
220	ME	1107	200	37	18.5
223	MS	2412	388	52	13.4
223	WS	2412	388	52	13.4
224	CY	1789	283	37	13.1
224	CD	1789	283	37	13.1
224	RP	1789	283	37	13.1
224	WS	1789	283	37	13.1
225	FO	810	145	12	8.3
225	GY	810	145	12	8.3
225	ME	810	145	12	8.3
226	ME	1977	357	40	11.2
227	HG	1743	290	30	10.3
229	JO	126202	26720	622	2.3
229	MI	126202	26720	622	2.3
230	JO	12758	2586	88	3.4
230	MI	12758	2586	88	3.4
231	JO	27698	5234	319	6.1
