id_ur,county_desc,u_r_code,avg_zero,avg_one,avg_two,avg_three,perc_zero,perc_one,perc_two,perc_three,avg_speed,max_speed
20001R,Allen,R,3074.44,1268.89,818.132,2314.53,0.0243165898323059,0.0589174795150757,0.0913789463043213,0.0323002862930298,9.8,25
20001U,Allen,U,1496.76,1107.86,629.955,1688.42,0.0328909540176392,0.0444368648529053,0.0781484842300415,0.0291574859619141,9.8,25
20003R,Anderson,R,2491.65,431.837,712.834,1406.68,0.0202395749092102,0.116780242919922,0.070745735168457,0.0358504796028137,9.8,25
20003U,Anderson,U,1127.71,422.422,289.669,1064.2,0.0257513070106506,0.068746452331543,0.100252380371094,0.0272881150245666,9.8,25
20005R,Atchison,R,1128,449.469,285.401,1015.12,0.0255140829086304,0.0640310573577881,0.100840444564819,0.0283511972427368,19.8222222222222,100
20005U,Atchison,U,3699.15,1483.16,1114.94,3961.76,0.0277334356307983,0.0691700458526611,0.0920140266418457,0.0258950591087341,9.8,25
20007R,Barber,R,1366.73,1339.59,504.19,1147.49,0.0318864297866821,0.0325322985649109,0.0864355850219727,0.0379784750938416,9.8,25
20009R,Barton,R,2675.27,2259.43,1059.02,2218.28,0.0306959700584412,0.0363454008102417,0.0775433588027954,0.0370197296142578,9.8,25
20009U,Barton,U,5907.99,4627.39,2297.94,4612.68,0.0295295190811157,0.0377015805244446,0.0759201335906982,0.0378218293190002,9.8,25
20011R,Bourbon,R,3480.74,696.739,915.474,2057.04,0.0205415868759155,0.102620887756348,0.0781016206741333,0.0347586321830749,9.8,25
20011U,Bourbon,U,2361.8,1417.12,659.424,2846.66,0.0308450818061829,0.0514072370529175,0.110475196838379,0.0255914163589478,8.73333333333333,25
20013R,Brown,R,1285.81,563.356,385.878,1094.96,0.0258980798721313,0.0591100454330444,0.0862968063354492,0.0304121565818787,7.23333333333333,25
20013U,Brown,U,1085.65,415.741,202.29,1118.32,0.0259937334060669,0.0678787183761597,0.139502515792847,0.0252342343330383,7.73333333333333,25
20015R,Butler,R,11817,2910.31,3708.96,9545.76,0.0236795043945312,0.0961477375030518,0.0754443883895874,0.0293135380744934,9.8,25
20015U,Butler,U,11256.8,8292.12,4058.76,15400.3,0.0346528935432434,0.0470422649383545,0.0961081218719482,0.0253293108940125,9.8,25
20017R,Chase,R,1467.2,274.884,403.8,440.118,0.0176254415512085,0.0940759181976318,0.0640415334701538,0.0587569808959961,9.8,25
20019R,Chautauqua,R,1689.28,302.785,532.698,705.234,0.0191205334663391,0.106676502227783,0.0606346845626831,0.0458004283905029,9.8,25
20021R,Cherokee,R,3317.41,1819.93,1765.05,2949.61,0.0296978640556335,0.0541338920593262,0.0558170461654663,0.0334010767936707,9.8,25
20021U,Cherokee,U,2779.78,2448.71,1295.37,3305.14,0.0353588533401489,0.0401395416259766,0.0758782196044922,0.0297385025024414,9.8,25
20023R,Cheyenne,R,1162.22,502.975,426.531,508.272,0.0223709368705749,0.0516924238204956,0.0609569358825684,0.0511537027359009,9.8,25
20025R,Clark,R,953.748,339.102,232.707,437.442,0.0205819511413574,0.0578881788253784,0.084354829788208,0.0448745012283325,9.8,25
20027R,Clay,R,1287.06,1222.29,534.612,948.041,0.0310163950920105,0.0326601219177246,0.0746709489822388,0.042107892036438,9.8,25
20027U,Clay,U,845.658,1344.39,692.463,1150.49,0.0476906967163086,0.0299986338615417,0.0582414150238037,0.0350547742843628,129.854545454545,1000
20029R,Cloud,R,1379.31,1181.61,512.939,1065.14,0.0300076961517334,0.035028612613678,0.0806918907165527,0.0388586378097534,9.8,25
